City,cbp one: (1/1/04 - 5/7/25)
McAllen,100
Redford,
Williams,
Buckingham,
Calexico,
Homestead Base,
Ranchos Penitas West,
Hidalgo,
Eagle Pass,
Oak Ridge,
Heber,
Country Walk,
Orlovista,
Rio Rico,
Country Club,
Fontainebleau,
Thousand Palms,
South Miami Heights,
Princeton,
Brownsville,19
Coral Terrace,
Tamiami,19
West Little River,
Westview,
Elgin,
Westchester,
Medley,
Golden Gate,
Doral,15
Orangetree,
Terrytown,
Combes,
Loughman,
Richmond Heights,
Kendale Lakes,
Palm Springs,
Egypt Lake-Leto,
Laredo,
Lehigh Acres,
Glenvar Heights,
Three Lakes,
Greenacres,
Westgate,
Town 'n' Country,
Miami Springs,
Leisure City,
Miami Gardens,12
Golden Glades,
Kendall West,
San Luis,
Westwood Lakes,
Immokalee,
West Odessa,
Ives Estates,
Jarrell,
Yorkshire,
Cutler Bay,
University Park,
Hoschton,
Dania Beach,
Meadow Woods,
Sunland Park,
Bayshore Gardens,
Speedway,
Miramar,
Pinecrest,
The Hammocks,
Lake Park,
Goulds,
Tomball,
Homestead,9
South Bradenton,
Miami Shores,
Castle Hills,
Hunters Creek,
Pine Hills,
Brawley,
The Crossings,
Gladeview,
Bell,
Pinewood,
Manor,
Campbell,
Wendell,
West Modesto,
Conway,
Aldine,
Vineyards,
Pasco,
Huntington Park,
San Benito,
Kendall,
Hialeah,8
Imperial,
Roselle Park,
Hobbs,
Hialeah Gardens,
Sheldon,
Poinciana,
Lauderhill,
Carlsbad,
Riviera Beach,
Alton,
La Vergne,
Florida City,
Lely Resort,
Sunrise,
Odessa,7
Lilburn,
Linden,
Agua Dulce,
Port Arthur,
Herriman,
North Creek,
Harrison,
South Salt Lake,
Westmont,
Buena Ventura Lakes,
Citrus Park,
West New York,
San Carlos Park,
Del Rio,
Miami Lakes,
Wimauma,
Kissimmee,6
Hollywood,
Horizon City,
Randolph,
North Highlands,
Davenport,
East Los Angeles,
Welby,
Mission,
Irvington,
Palmetto,
Jasper,
Belle Glade,
Whitney,
North Lauderdale,
Lely,
Greater Carrollwood,
Valley Falls,
Taylor,
Palm River-Clair Mel,
Plant City,
West Valley City,
Fruitville,
Kyle,
Oakwood,
North Miami,
Forest Park,
Coconut Creek,
Ocoee,
Montclair,
Long Branch,
Saint Matthews,
Richmond West,
Saint Cloud,
Garfield,
El Paso,5
Mitchellville,
Palmetto Estates,
Midland,
Universal City,
Cicero,
Lake Ronkonkoma,
Batavia,
Picnic Point-North Lynnwood,
Hillburn,
North Miami Beach,
Coral Gables,
Crest Hill,
Wellington,
Donna,
Fort Pierce,
Bonita Springs,
East Orange,
Hallandale Beach,
Pembroke Pines,
South Valley,
Bull Run,
Flowery Branch,
Four Corners,
Belleview,
Union City,
Maplewood,
Porter,
Lake Magdalene,
Boynton Beach,
Sunrise Manor,
Garden City,
Lewisville,
Weston,
The Colony,
Franconia,
Cape Coral,4
Gainesville,
Brockton,
Margate,
Jessup,
