Month,Border: (United States)
2004-01,39
2004-02,39
2004-03,41
2004-04,40
2004-05,40
2004-06,42
2004-07,42
2004-08,39
2004-09,38
2004-10,39
2004-11,39
2004-12,36
2005-01,37
2005-02,38
2005-03,35
2005-04,44
2005-05,39
2005-06,40
2005-07,38
2005-08,36
2005-09,33
2005-10,32
2005-11,34
2005-12,34
2006-01,36
2006-02,35
2006-03,38
2006-04,41
2006-05,48
2006-06,37
2006-07,36
2006-08,33
2006-09,35
2006-10,39
2006-11,39
2006-12,37
2007-01,34
2007-02,33
2007-03,36
2007-04,37
2007-05,38
2007-06,35
2007-07,37
2007-08,34
2007-09,34
2007-10,36
2007-11,35
2007-12,34
2008-01,36
2008-02,37
2008-03,37
2008-04,39
2008-05,37
2008-06,33
2008-07,35
2008-08,34
2008-09,31
2008-10,33
2008-11,34
2008-12,35
2009-01,33
2009-02,36
2009-03,40
2009-04,38
2009-05,37
2009-06,34
2009-07,32
2009-08,32
2009-09,32
2009-10,31
2009-11,34
2009-12,32
2010-01,31
2010-02,33
2010-03,33
2010-04,36
2010-05,40
2010-06,36
2010-07,35
2010-08,34
2010-09,32
2010-10,31
2010-11,32
2010-12,30
2011-01,32
2011-02,38
2011-03,32
2011-04,33
2011-05,44
2011-06,30
2011-07,41
2011-08,29
2011-09,35
2011-10,30
2011-11,29
2011-12,30
2012-01,28
2012-02,31
2012-03,28
2012-04,29
2012-05,30
2012-06,28
2012-07,28
2012-08,29
2012-09,28
2012-10,27
2012-11,28
2012-12,27
2013-01,27
2013-02,28
2013-03,29
2013-04,30
2013-05,29
2013-06,28
2013-07,29
2013-08,30
2013-09,28
2013-10,28
2013-11,27
2013-12,29
2014-01,28
2014-02,30
2014-03,31
2014-04,31
2014-05,32
2014-06,36
2014-07,47
2014-08,34
2014-09,35
2014-10,32
2014-11,31
2014-12,33
2015-01,32
2015-02,33
2015-03,33
2015-04,33
2015-05,33
2015-06,31
2015-07,31
2015-08,36
2015-09,36
2015-10,33
2015-11,36
2015-12,33
2016-01,33
2016-02,36
2016-03,38
2016-04,35
2016-05,38
2016-06,33
2016-07,34
2016-08,32
2016-09,37
2016-10,36
2016-11,47
2016-12,38
2017-01,58
2017-02,60
2017-03,54
2017-04,60
2017-05,50
2017-06,43
2017-07,45
2017-08,48
2017-09,46
2017-10,46
2017-11,43
2017-12,36
2018-01,42
2018-02,40
2018-03,30
2018-04,37
2018-05,27
2018-06,62
2018-07,31
2018-08,25
2018-09,21
2018-10,31
2018-11,70
2018-12,86
2019-01,97
2019-02,62
2019-03,37
2019-04,43
2019-05,28
2019-06,46
2019-07,43
2019-08,32
2019-09,27
2019-10,28
2019-11,25
2019-12,24
2020-01,28
2020-02,29
2020-03,100
2020-04,51
2020-05,59
2020-06,76
2020-07,66
2020-08,55
2020-09,57
2020-10,54
2020-11,42
2020-12,34
2021-01,47
2021-02,48
2021-03,78
2021-04,70
2021-05,68
2021-06,89
2021-07,80
2021-08,66
2021-09,61
2021-10,49
2021-11,51
2021-12,49
2022-01,49
2022-02,60
2022-03,56
2022-04,56
2022-05,49
2022-06,44
2022-07,38
2022-08,39
2022-09,39
2022-10,44
2022-11,37
2022-12,46
2023-01,47
2023-02,38
2023-03,42
2023-04,39
2023-05,65
2023-06,36
2023-07,32
2023-08,35
2023-09,40
2023-10,52
2023-11,42
2023-12,43
2024-01,68
2024-02,54
2024-03,48
2024-04,39
2024-05,36
2024-06,34
2024-07,43
2024-08,45
2024-09,47
2024-10,41
2024-11,45
2024-12,31
2025-01,40
2025-02,38
2025-03,36
2025-04,33
2025-05,32
