Month,Mexico-United States border: (United States)
2004-01,10
2004-02,10
2004-03,16
2004-04,11
2004-05,12
2004-06,9
2004-07,10
2004-08,9
2004-09,11
2004-10,13
2004-11,13
2004-12,11
2005-01,11
2005-02,14
2005-03,15
2005-04,19
2005-05,16
2005-06,12
2005-07,11
2005-08,11
2005-09,9
2005-10,12
2005-11,13
2005-12,12
2006-01,14
2006-02,13
2006-03,17
2006-04,20
2006-05,26
2006-06,16
2006-07,10
2006-08,10
2006-09,13
2006-10,18
2006-11,18
2006-12,12
2007-01,12
2007-02,12
2007-03,14
2007-04,13
2007-05,14
2007-06,10
2007-07,9
2007-08,10
2007-09,11
2007-10,13
2007-11,13
2007-12,11
2008-01,12
2008-02,13
2008-03,13
2008-04,14
2008-05,12
2008-06,9
2008-07,8
2008-08,7
2008-09,8
2008-10,9
2008-11,10
2008-12,10
2009-01,8
2009-02,14
2009-03,19
2009-04,16
2009-05,12
2009-06,7
2009-07,7
2009-08,6
2009-09,9
2009-10,9
2009-11,8
2009-12,8
2010-01,8
2010-02,9
2010-03,12
2010-04,14
2010-05,15
2010-06,13
2010-07,11
2010-08,8
2010-09,9
2010-10,11
2010-11,11
2010-12,8
2011-01,9
2011-02,9
2011-03,9
2011-04,9
2011-05,9
2011-06,7
2011-07,6
2011-08,6
2011-09,8
2011-10,9
2011-11,8
2011-12,8
2012-01,7
2012-02,8
2012-03,8
2012-04,9
2012-05,9
2012-06,6
2012-07,6
2012-08,5
2012-09,7
2012-10,7
2012-11,8
2012-12,7
2013-01,7
2013-02,8
2013-03,8
2013-04,8
2013-05,7
2013-06,8
2013-07,7
2013-08,7
2013-09,7
2013-10,8
2013-11,7
2013-12,7
2014-01,7
2014-02,8
2014-03,8
2014-04,8
2014-05,8
2014-06,12
2014-07,18
2014-08,10
2014-09,12
2014-10,10
2014-11,8
2014-12,8
2015-01,8
2015-02,8
2015-03,8
2015-04,9
2015-05,9
2015-06,7
2015-07,11
2015-08,11
2015-09,10
2015-10,10
2015-11,11
2015-12,10
2016-01,9
2016-02,13
2016-03,15
2016-04,12
2016-05,12
2016-06,10
2016-07,10
2016-08,9
2016-09,11
2016-10,11
2016-11,28
2016-12,13
2017-01,41
2017-02,27
2017-03,18
2017-04,14
2017-05,13
2017-06,14
2017-07,10
2017-08,9
2017-09,10
2017-10,10
2017-11,11
2017-12,11
2018-01,13
2018-02,13
2018-03,13
2018-04,24
2018-05,13
2018-06,29
2018-07,14
2018-08,12
2018-09,12
2018-10,32
2018-11,78
2018-12,45
2019-01,65
2019-02,39
2019-03,24
2019-04,36
2019-05,16
2019-06,20
2019-07,17
2019-08,13
2019-09,12
2019-10,12
2019-11,13
2019-12,12
2020-01,13
2020-02,13
2020-03,100
2020-04,20
2020-05,26
2020-06,27
2020-07,31
2020-08,22
2020-09,20
2020-10,22
2020-11,18
2020-12,16
2021-01,20
2021-02,16
2021-03,37
2021-04,26
2021-05,17
2021-06,25
2021-07,23
2021-08,19
2021-09,18
2021-10,17
2021-11,15
2021-12,14
2022-01,13
2022-02,14
2022-03,15
2022-04,19
2022-05,18
2022-06,13
2022-07,13
2022-08,14
2022-09,13
2022-10,15
2022-11,15
2022-12,24
2023-01,22
2023-02,20
2023-03,29
2023-04,21
2023-05,47
2023-06,16
2023-07,17
2023-08,16
2023-09,21
2023-10,26
2023-11,23
2023-12,30
2024-01,46
2024-02,49
2024-03,36
2024-04,29
2024-05,24
2024-06,18
2024-07,16
2024-08,20
2024-09,29
2024-10,29
2024-11,33
2024-12,24
2025-01,52
2025-02,52
2025-03,51
2025-04,24
2025-05,27
