City,Immigration: (1/1/04 - 5/7/25)
Golden Glades,
Elizabeth,
Potomac,
Edison,
Elmsford,
Washington,100
Irvington,
Silver Spring,
Malden,
East Orange,
Jersey City,95
Margate,
White Oak,
Wheaton-Glenmont,
North Miami Beach,
Newark,92
Union City,
Springfield,
Rockville,
Hempstead,
Sunrise,
Arlington,86
Falls Church,
Fort Lauderdale,86
North Lauderdale,
Mount Vernon,
Hicksville,
Newark,83
North Miami,
Harlingen,
Newington,
Miami,82
Union City,
Framingham,
Chelsea,
Merrifield,
Lake Worth,
Woodbridge Township,
Fairfax,
Annandale,
Pompano Beach,
Danbury,
Fremont,78
Palm Springs,
Everett,
McLean,
Mission Bend,
Irving,77
White Plains,
Allen Park,
Berkeley,77
Reston,76
Coral Gables,
Pleasanton,76
Skokie,
Manassas,
Tysons,
Piscataway Township,
Hollywood,
College Park,
South Brunswick Township,
Gaithersburg,
Greenacres,
Perth Amboy,
Pine Hills,
Deerfield Beach,
East Brunswick,
Rose Hill,
Glendale,
Hallandale Beach,
Stanford,
Miami Beach,
Sunnyvale,73
Irvine,73
Daly City,
Paterson,
Cerritos,
Hackensack,
New York,72
Richmond,
Aventura,
Des Plaines,
Marlborough,
Key West,
Golden Gate,
Trenton,
Somerville,
Stamford,
Brentwood,
Cambridge,71
Lynn,
Doral,
New Carrollton,
Woodbridge,
West Windsor Township,
Vienna,
Clarksburg,
West Hempstead,
Hayward,
New Brunswick,
Santa Clara,70
Bridgeport,
San Bruno,
Alhambra,
Tucker,
Combes,
Passaic,
Norridge,
Homestead,
Woodlawn,
Boca Raton,68
Owings Mills,
Union,
Delray Beach,
West Palm Beach,67
Greenbelt,
South Plainfield,
West New York,
Miami Gardens,
Medford,
Santa Ana,67
Lilburn,
Sugar Land,
Norcross,
Duluth,
Fontainebleau,
Stanton,
North Bethesda,
Secaucus,
Chantilly,
Brownsville,
Alexandria,66
Freeport,
Cupertino,
Oakland,65
Herndon,65
Franklin Township,
El Cerrito,
Evanston,
East Los Angeles,
New Haven,
Beltsville,
Hoboken,
Mount Vernon,
Princeton,
Brookline,
El Monte,
Coral Springs,
Arlington Heights,
Mamaroneck,
Redwood City,
Redmond,
Palatine,
Lehigh Acres,
Rolling Meadows,
Lowell,
Cicero,
Oakton,
Bethesda,
Lynbrook,
Boynton Beach,
Old Bridge Township,
Mountain House,
Bergenfield,
Nanuet,
Brambleton,
Schaumburg,
North Decatur,
Montgomery Village,
New Rochelle,
Hoffman Estates,
Pasadena,
Hawthorne,
Edinburg,
Worcester,
Naples,
Hialeah,61
Randolph,
Compton,
Richardson,61
Hyattsville,61
Monterey Park,
San Mateo,
Claremont,
Davis,
Plantation,
San Jose,61
Pembroke Pines,61
Franklin Square,
Bay Shore,
South Gate,
SeaTac,
Brockton,
Kendall,
South San Francisco,
Menlo Park,
Renton,
El Paso,60
East Lansing,
West Orange,
