DMA,immigration: (11/6/12 - 11/8/16)
New York NY,100
Miami-Ft. Lauderdale FL,92
Washington DC (Hagerstown MD),91
West Palm Beach-Ft. Pierce FL,81
San Francisco-Oakland-San Jose CA,80
Houston TX,78
Los Angeles CA,74
Boston MA-Manchester NH,71
Fresno-Visalia CA,69
Monterey-Salinas CA,69
El Paso TX,68
Dallas-Ft. Worth TX,67
Baltimore MD,66
Ft. Myers-Naples FL,66
Harlingen-Weslaco-Brownsville-McAllen TX,65
Chicago IL,65
Laredo TX,65
Las Vegas NV,64
Yuma AZ-El Centro CA,64
Hartford & New Haven CT,63
Bakersfield CA,63
Yakima-Pasco-Richland-Kennewick WA,63
Palm Springs CA,63
San Diego CA,62
Tucson (Sierra Vista) AZ,61
Reno NV,59
Sacramento-Stockton-Modesto CA,58
Philadelphia PA,58
Santa Barbara-Santa Maria-San Luis Obispo CA,58
Phoenix AZ,57
Seattle-Tacoma WA,57
San Antonio TX,57
Austin TX,55
South Bend-Elkhart IN,55
Atlanta GA,55
Denver CO,54
Peoria-Bloomington IL,54
Richmond-Petersburg VA,53
Orlando-Daytona Beach-Melbourne FL,53
Raleigh-Durham (Fayetteville) NC,53
Tyler-Longview(Lufkin & Nacogdoches) TX,53
Tampa-St. Petersburg (Sarasota) FL,53
Eureka CA,52
Salt Lake City UT,52
Ft. Smith-Fayetteville-Springdale-Rogers AR,51
Tallahassee FL-Thomasville GA,51
Waco-Temple-Bryan TX,51
Providence RI-New Bedford MA,50
Springfield-Holyoke MA,50
Honolulu HI,50
Twin Falls ID,49
Minneapolis-St. Paul MN,48
Kansas City MO,48
Milwaukee WI,48
Juneau AK,48
Albany-Schenectady-Troy NY,48
Greensboro-High Point-Winston Salem NC,48
Wichita-Hutchinson KS,48
Lincoln & Hastings-Kearney NE,48
Charlotte NC,47
Albuquerque-Santa Fe NM,47
Salisbury MD,47
Indianapolis IN,46
Des Moines-Ames IA,46
Boise ID,46
Detroit MI,46
Omaha NE,46
Harrisburg-Lancaster-Lebanon-York PA,46
Odessa-Midland TX,45
Lubbock TX,45
Lansing MI,45
Champaign & Springfield-Decatur IL,45
Columbus OH,44
Madison WI,44
Burlington VT-Plattsburgh NY,44
St. Joseph MO,44
Lafayette IN,44
Idaho Falls-Pocatello ID,44
Jacksonville FL,43
Corpus Christi TX,43
Mankato MN,43
Wichita Falls TX & Lawton OK,42
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,42
Oklahoma City OK,42
Buffalo NY,42
Macon GA,42
Savannah GA,42
Presque Isle ME,41
Bowling Green KY,41
Amarillo TX,41
Watertown NY,41
Beaumont-Port Arthur TX,41
Sioux City IA,41
Chattanooga TN,41
Sherman TX-Ada OK,41
Eugene OR,41
Gainesville FL,40
Portland-Auburn ME,40
Memphis TN,40
Albany GA,40
Davenport IA-Rock Island-Moline IL,40
Utica NY,40
Harrisonburg VA,39
Syracuse NY,39
Norfolk-Portsmouth-Newport News VA,39
Columbia SC,39
Florence-Myrtle Beach SC,39
Grand Rapids-Kalamazoo-Battle Creek MI,39
Portland OR,39
Abilene-Sweetwater TX,39
Jonesboro AR,39
San Angelo TX,38
Colorado Springs-Pueblo CO,38
Lexington KY,38
Rochester MN-Mason City IA-Austin MN,38
Greenwood-Greenville MS,38
Little Rock-Pine Bluff AR,38
Baton Rouge LA,38
Green Bay-Appleton WI,38
New Orleans LA,38
Wilkes Barre-Scranton PA,38
Casper-Riverton WY,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,37
Cincinnati OH,37
Cheyenne WY-Scottsbluff NE,37
Rochester NY,37
Spokane WA,37
Birmingham AL,37
Victoria TX,37
Charlottesville VA,36
Topeka KS,36
Chico-Redding CA,36
Anchorage AK,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Charleston SC,36
Rockford IL,35
Binghamton NY,35
Dayton OH,35
Joplin MO-Pittsburg KS,35
Nashville TN,35
Fargo-Valley City ND,35
Fairbanks AK,35
Tulsa OK,35
Columbus GA,34
St. Louis MO,34
Grand Junction-Montrose CO,34
La Crosse-Eau Claire WI,34
Augusta GA,34
Pittsburgh PA,34
Cleveland-Akron (Canton) OH,33
Louisville KY,33
Columbia-Jefferson City MO,33
Huntsville-Decatur (Florence) AL,33
Panama City FL,33
Monroe LA-El Dorado AR,33
Meridian MS,33
Ottumwa IA-Kirksville MO,33
Bend OR,33
Dothan AL,33
Medford-Klamath Falls OR,32
Knoxville TN,32
North Platte NE,32
Ft. Wayne IN,32
Elmira NY,32
Wausau-Rhinelander WI,32
Lake Charles LA,32
Sioux Falls(Mitchell) SD,31
Jackson MS,31
Bangor ME,31
Quincy IL-Hannibal MO-Keokuk IA,31
Minot-Bismarck-Dickinson(Williston) ND,31
Biloxi-Gulfport MS,30
Springfield MO,30
Montgomery (Selma) AL,30
Greenville-New Bern-Washington NC,30
Toledo OH,30
Columbus-Tupelo-West Point MS,30
Great Falls MT,30
Shreveport LA,29
Zanesville OH,29
Wilmington NC,29
Marquette MI,29
Flint-Saginaw-Bay City MI,29
Jackson TN,29
Johnstown-Altoona PA,29
Alexandria LA,28
Missoula MT,28
Rapid City SD,28
Lima OH,28
Evansville IN,28
Traverse City-Cadillac MI,27
Erie PA,27
Helena MT,27
Terre Haute IN,26
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,26
Duluth MN-Superior WI,26
Butte-Bozeman MT,25
Clarksburg-Weston WV,25
"Billings, MT",25
Lafayette LA,25
Youngstown OH,24
Wheeling WV-Steubenville OH,22
Bluefield-Beckley-Oak Hill WV,22
Tri-Cities TN-VA,22
Alpena MI,22
Glendive MT,22
Charleston-Huntington WV,21
Parkersburg WV,20
Roanoke-Lynchburg VA,19
Hattiesburg-Laurel MS,18
